id,username,email,first_name,last_name,bio,birth_date,password_hash,role,created_at,updated_at,game_score,profile_picture
1,user1,user1@example.com,User1,User,Keep watching and build your cinematic fingerprint on MoveM.,2014-04-13,hash_f89a8d0ca21a8c83,moderator,2025-08-26 17:18:32.358087,2025-09-20 17:18:32.358087,5927,img/placeholder_avatar.svg
2,user2,user2@example.com,User2,User,Keep watching and build your cinematic fingerprint on MoveM.,2014-03-27,hash_3def62374db9f7a1,moderator,2024-11-01 17:18:32.358108,2024-12-13 17:18:32.358108,7387,img/placeholder_avatar.svg
3,user3,user3@example.com,User3,User,Keep watching and build your cinematic fingerprint on MoveM.,2001-07-04,hash_c30809395db4ac40,user,2025-01-25 17:18:32.358123,2025-02-14 17:18:32.358123,553,img/placeholder_avatar.svg
4,user4,user4@example.com,User4,User,Keep watching and build your cinematic fingerprint on MoveM.,2002-09-04,hash_d6b9a48c17db2559,moderator,2023-11-20 17:18:32.358133,2023-12-14 17:18:32.358133,4255,img/placeholder_avatar.svg
5,user5,user5@example.com,User5,User,Keep watching and build your cinematic fingerprint on MoveM.,2008-07-11,hash_7bfe42801ca42a3a,user,2024-05-21 17:18:32.358143,2024-07-26 17:18:32.358143,1876,img/placeholder_avatar.svg
6,user6,user6@example.com,User6,User,Keep watching and build your cinematic fingerprint on MoveM.,1991-03-03,hash_c160868f7041a986,user,2024-08-08 17:18:32.358151,2024-10-09 17:18:32.358151,7575,img/placeholder_avatar.svg
7,user7,user7@example.com,User7,User,Keep watching and build your cinematic fingerprint on MoveM.,1992-05-18,hash_351357022d250325,admin,2023-10-18 17:18:32.358159,2023-12-21 17:18:32.358159,8865,img/placeholder_avatar.svg
8,user8,user8@example.com,User8,User,Keep watching and build your cinematic fingerprint on MoveM.,1990-11-20,hash_23986047781a5665,admin,2024-06-25 17:18:32.358167,2024-08-27 17:18:32.358167,7337,img/placeholder_avatar.svg
9,user9,user9@example.com,User9,User,Keep watching and build your cinematic fingerprint on MoveM.,1997-12-10,hash_9713501744b7f836,admin,2024-01-28 17:18:32.358175,2024-03-24 17:18:32.358175,1990,img/placeholder_avatar.svg
10,user10,user10@example.com,User10,User,Keep watching and build your cinematic fingerprint on MoveM.,1997-01-16,hash_30f4900a684c304d,moderator,2023-11-06 17:18:32.358183,2023-12-29 17:18:32.358183,1854,img/placeholder_avatar.svg
11,user11,user11@example.com,User11,User,Keep watching and build your cinematic fingerprint on MoveM.,1976-12-07,hash_20e408546b539a2b,admin,2023-12-28 17:18:32.358191,2024-03-05 17:18:32.358191,2459,img/placeholder_avatar.svg
12,user12,user12@example.com,User12,User,Keep watching and build your cinematic fingerprint on MoveM.,1972-02-17,hash_c711a681d4719c83,user,2024-08-10 17:18:32.358199,2024-09-17 17:18:32.358199,240,img/placeholder_avatar.svg
13,user13,user13@example.com,User13,User,Keep watching and build your cinematic fingerprint on MoveM.,1993-01-26,hash_5c8f85d2633005a3,user,2024-01-23 17:18:32.358207,2024-03-29 17:18:32.358207,7131,img/placeholder_avatar.svg
14,user14,user14@example.com,User14,User,Keep watching and build your cinematic fingerprint on MoveM.,2009-08-01,hash_a7d18728d7a8d56a,moderator,2024-09-01 17:18:32.358215,2024-11-06 17:18:32.358215,9017,img/placeholder_avatar.svg
