id,username,email,birth_date,password_hash,role,created_at,updated_at,game_score
1,user1,user1@example.com,2014-04-13,hash_f89a8d0ca21a8c83,moderator,2025-08-26 17:18:32.358087,2025-09-20 17:18:32.358087,5927
2,user2,user2@example.com,2014-03-27,hash_3def62374db9f7a1,moderator,2024-11-01 17:18:32.358108,2024-12-13 17:18:32.358108,7387
3,user3,user3@example.com,2001-07-04,hash_c30809395db4ac40,user,2025-01-25 17:18:32.358123,2025-02-14 17:18:32.358123,553
4,user4,user4@example.com,2002-09-04,hash_d6b9a48c17db2559,moderator,2023-11-20 17:18:32.358133,2023-12-14 17:18:32.358133,4255
5,user5,user5@example.com,2008-07-11,hash_7bfe42801ca42a3a,user,2024-05-21 17:18:32.358143,2024-07-26 17:18:32.358143,1876
6,user6,user6@example.com,1992-06-26,hash_9e5ff7499e0920e1,user,2025-04-29 17:18:32.358151,2025-06-01 17:18:32.358151,2060
7,user7,user7@example.com,1984-01-20,hash_7bbb3c1c1cbe9b52,moderator,2025-04-25 17:18:32.358159,2025-07-15 17:18:32.358159,8662
8,user8,user8@example.com,1990-10-03,hash_134cec093ac516be,user,2025-07-18 17:18:32.358169,2025-08-12 17:18:32.358169,9792
9,user9,user9@example.com,1981-01-01,hash_5129268c872a99d8,user,2023-03-29 17:18:32.358183,2023-04-25 17:18:32.358183,4499
10,user10,user10@example.com,2011-04-07,hash_7aed2c9d73c4e5d5,moderator,2023-02-22 17:18:32.358195,2023-03-25 17:18:32.358195,8764
11,user11,user11@example.com,2007-01-18,hash_915164c86d6c45a7,user,2023-06-22 17:18:32.358206,2023-07-22 17:18:32.358206,3511
12,user12,user12@example.com,1992-06-21,hash_2f39b59c0cde24cd,moderator,2025-06-16 17:18:32.358220,2025-06-27 17:18:32.358220,5553
13,user13,user13@example.com,2007-01-20,hash_dc2186cca4491de8,user,2025-06-10 17:18:32.358229,2025-07-26 17:18:32.358229,2442
14,user14,user14@example.com,2012-08-27,hash_24811892c2af110f,moderator,2025-04-17 17:18:32.358235,2025-05-27 17:18:32.358235,4101
15,user15,user15@example.com,1993-01-09,hash_9eed050c6a2f6ece,moderator,2023-05-29 17:18:32.358254,2023-07-09 17:18:32.358254,5356
16,user16,user16@example.com,2002-10-08,hash_d2f66074acc0415d,admin,2024-12-05 17:18:32.358261,2025-02-27 17:18:32.358261,1118
17,user17,user17@example.com,1995-06-29,hash_dd4b682bfb80e6be,moderator,2025-02-13 17:18:32.358268,2025-04-07 17:18:32.358268,4806
18,user18,user18@example.com,1993-03-23,hash_89aeb9b39335c682,moderator,2024-08-19 17:18:32.358276,2024-11-27 17:18:32.358276,6184
19,user19,user19@example.com,1987-12-22,hash_28f57cff8d2e87f,admin,2025-02-17 17:18:32.358283,2025-02-22 17:18:32.358283,8366
20,user20,user20@example.com,2016-06-18,hash_e04e579d29fd6615,admin,2024-09-05 17:18:32.358290,2024-12-10 17:18:32.358290,321
21,user21,user21@example.com,2017-12-09,hash_d18a722547db3ba8,moderator,2023-05-13 17:18:32.358297,2023-06-18 17:18:32.358297,9465
22,user22,user22@example.com,2001-06-01,hash_3fcd68c226855b6f,moderator,2024-06-07 17:18:32.358303,2024-07-25 17:18:32.358303,5752
23,user23,user23@example.com,1989-03-20,hash_186c2ab0dded36a0,user,2024-09-21 17:18:32.358310,2024-11-30 17:18:32.358310,7335
24,user24,user24@example.com,2002-08-06,hash_52f60e3b55bf6de3,admin,2024-05-16 17:18:32.358317,2024-06-13 17:18:32.358317,5845
25,user25,user25@example.com,2016-06-12,hash_6c39e39d0933fbfd,admin,2025-01-16 17:18:32.358324,2025-02-04 17:18:32.358324,4006
26,user26,user26@example.com,2018-02-11,hash_9d37bdf5f60409f4,user,2025-11-02 17:18:32.358330,2026-01-06 17:18:32.358330,1581
27,user27,user27@example.com,2017-08-23,hash_4c08a6698a829026,admin,2024-09-21 17:18:32.358337,2024-11-04 17:18:32.358337,8066
28,user28,user28@example.com,2004-02-27,hash_4577fb137d34df1b,admin,2025-04-29 17:18:32.358343,2025-07-12 17:18:32.358343,8517
29,user29,user29@example.com,1990-07-12,hash_77681cd7687facbe,user,2025-07-27 17:18:32.358350,2025-09-16 17:18:32.358350,1413
30,user30,user30@example.com,2010-11-23,hash_97badb86ef56ef94,moderator,2023-07-14 17:18:32.358356,2023-07-16 17:18:32.358356,6013
31,user31,user31@example.com,2017-03-27,hash_f6223198643a7fce,user,2024-10-13 17:18:32.358362,2024-12-30 17:18:32.358362,2818
32,user32,user32@example.com,1990-03-14,hash_a65071a2ad780ba6,moderator,2023-02-26 17:18:32.358369,2023-04-06 17:18:32.358369,8964
33,user33,user33@example.com,2014-11-17,hash_a8566e322b54495a,admin,2024-03-28 17:18:32.358377,2024-03-30 17:18:32.358377,1951
34,user34,user34@example.com,1998-08-15,hash_e3190b2e221f701,admin,2025-05-02 17:18:32.358384,2025-06-25 17:18:32.358384,2231
35,user35,user35@example.com,2000-05-09,hash_5f09359b50678beb,admin,2023-07-10 17:18:32.358407,2023-08-11 17:18:32.358407,4184
36,user36,user36@example.com,1989-12-04,hash_27a3485ec07aab51,admin,2023-03-25 17:18:32.358414,2023-05-11 17:18:32.358414,6352
37,user37,user37@example.com,2020-01-03,hash_4dbd277312ba9ad0,admin,2025-07-05 17:18:32.358421,2025-08-16 17:18:32.358421,6779
38,user38,user38@example.com,2003-08-10,hash_2f943d58647cfeb,user,2025-08-11 17:18:32.358427,2025-09-22 17:18:32.358427,403
39,user39,user39@example.com,2019-10-16,hash_ffc7075b387c7744,user,2025-07-09 17:18:32.358434,2025-07-24 17:18:32.358434,6129
40,user40,user40@example.com,1985-11-20,hash_8efeb5f726dfdefb,user,2025-05-28 17:18:32.358444,2025-08-17 17:18:32.358444,4517
41,user41,user41@example.com,2013-04-15,hash_aac7eca3ed3c621c,user,2024-07-01 17:18:32.358455,2024-08-16 17:18:32.358455,410
42,user42,user42@example.com,1997-02-17,hash_d0f55564bb9cb334,user,2024-03-21 17:18:32.358466,2024-06-01 17:18:32.358466,7712
43,user43,user43@example.com,2010-02-17,hash_f761d06cb08e6351,admin,2025-06-29 17:18:32.358477,2025-10-05 17:18:32.358477,9712
44,user44,user44@example.com,2001-07-01,hash_344438efd1a845e9,user,2023-05-05 17:18:32.358484,2023-07-15 17:18:32.358484,5390
45,user45,user45@example.com,1988-06-02,hash_3bb10a8babfe7324,user,2023-10-14 17:18:32.358491,2023-11-17 17:18:32.358491,905
46,user46,user46@example.com,2002-07-16,hash_a0ebf1a36b59fe6d,moderator,2025-10-05 17:18:32.358497,2025-11-16 17:18:32.358497,8757
47,user47,user47@example.com,1981-07-05,hash_b4cbe3e4c1cbeb84,user,2023-02-13 17:18:32.358503,2023-04-18 17:18:32.358503,2365
48,user48,user48@example.com,2000-04-09,hash_f38d72f60de00609,admin,2025-03-30 17:18:32.358510,2025-06-03 17:18:32.358510,6523
49,user49,user49@example.com,2017-09-26,hash_5824b76d58b64f84,admin,2023-03-31 17:18:32.358516,2023-03-31 17:18:32.358516,9648
50,user50,user50@example.com,1999-01-09,hash_a54730ee9678d20,moderator,2024-09-18 17:18:32.358523,2024-11-15 17:18:32.358523,6153
51,user51,user51@example.com,1983-05-08,hash_d2827e8f3765a255,moderator,2023-05-25 17:18:32.358529,2023-07-26 17:18:32.358529,1202
52,user52,user52@example.com,2003-07-16,hash_593203ae07d5d77d,user,2025-02-08 17:18:32.358541,2025-02-08 17:18:32.358541,3776
53,user53,user53@example.com,2018-03-20,hash_fb4599bb0b632215,user,2024-09-28 17:18:32.358548,2024-12-18 17:18:32.358548,3157
54,user54,user54@example.com,2009-10-02,hash_c37c59b09d79dea6,admin,2023-02-19 17:18:32.358555,2023-03-19 17:18:32.358555,3356
55,user55,user55@example.com,2006-02-12,hash_551ebd438513ca1,user,2023-07-25 17:18:32.358562,2023-08-04 17:18:32.358562,773
56,user56,user56@example.com,2018-09-12,hash_bf8637457f83fafd,admin,2025-07-25 17:18:32.358569,2025-08-16 17:18:32.358569,9982
57,user57,user57@example.com,1988-03-13,hash_ae4e1c3d5ae437d7,admin,2024-09-16 17:18:32.358576,2024-10-05 17:18:32.358576,2241
58,user58,user58@example.com,2002-08-24,hash_c2b2ac56c1c068fb,moderator,2023-06-16 17:18:32.358583,2023-09-09 17:18:32.358583,9891
59,user59,user59@example.com,1980-07-14,hash_960bfa8d14687006,user,2023-10-24 17:18:32.358590,2023-11-26 17:18:32.358590,7494
60,user60,user60@example.com,1983-02-01,hash_2423eed0f085553a,moderator,2024-12-01 17:18:32.358596,2025-02-25 17:18:32.358596,6508
61,user61,user61@example.com,2009-02-03,hash_dae5da64985ac402,user,2023-03-01 17:18:32.358603,2023-05-01 17:18:32.358603,5846
62,user62,user62@example.com,2018-07-16,hash_ae607eb846575094,admin,2023-11-15 17:18:32.358610,2023-12-20 17:18:32.358610,4407
63,user63,user63@example.com,2013-10-29,hash_b847ff0751c38ec3,user,2025-08-25 17:18:32.358616,2025-09-12 17:18:32.358616,1465
64,user64,user64@example.com,2003-03-14,hash_4e2e908cbd3cc8e5,admin,2025-04-12 17:18:32.358625,2025-07-12 17:18:32.358625,2681
65,user65,user65@example.com,1995-02-27,hash_9e0becab20902de6,user,2023-12-07 17:18:32.358636,2024-02-27 17:18:32.358636,8650
66,user66,user66@example.com,2002-04-19,hash_da0a87b2ff35b294,moderator,2025-02-11 17:18:32.358648,2025-04-18 17:18:32.358648,481
67,user67,user67@example.com,1989-11-30,hash_d18800bf7befa21d,user,2023-09-19 17:18:32.358657,2023-11-06 17:18:32.358657,2666
68,user68,user68@example.com,2019-08-15,hash_e38115a7f83b5e6c,admin,2025-08-05 17:18:32.358663,2025-10-08 17:18:32.358663,8417
69,user69,user69@example.com,1998-11-25,hash_eaa5acf06f4be8b0,user,2024-04-25 17:18:32.358669,2024-04-28 17:18:32.358669,6301
70,user70,user70@example.com,2020-10-24,hash_419c07dca00a5f67,moderator,2023-06-19 17:18:32.358676,2023-08-26 17:18:32.358676,1153
71,user71,user71@example.com,1996-01-07,hash_b0602ed60a830240,user,2023-07-07 17:18:32.358683,2023-10-09 17:18:32.358683,9618
72,user72,user72@example.com,1981-04-25,hash_da529cc709caa7d1,moderator,2023-12-03 17:18:32.358689,2024-03-10 17:18:32.358689,5140
73,user73,user73@example.com,2016-06-13,hash_10ff6e09c6d7916b,user,2025-04-09 17:18:32.358696,2025-07-10 17:18:32.358696,582
74,user74,user74@example.com,2001-09-07,hash_728251bdd7d3e445,moderator,2024-12-17 17:18:32.358703,2024-12-19 17:18:32.358703,7054
75,user75,user75@example.com,1997-07-02,hash_905d5f876e7d8c5a,user,2025-10-04 17:18:32.358710,2025-10-12 17:18:32.358710,7006
76,user76,user76@example.com,2017-08-02,hash_9b7ad17e79f4a25a,moderator,2024-01-12 17:18:32.358717,2024-02-29 17:18:32.358717,4915
77,user77,user77@example.com,2010-05-01,hash_52346697731e27cd,admin,2023-10-29 17:18:32.358724,2024-01-28 17:18:32.358724,4712
78,user78,user78@example.com,2007-08-30,hash_f9a292b91e502013,user,2024-09-11 17:18:32.358731,2024-10-16 17:18:32.358731,9676
79,user79,user79@example.com,2006-11-14,hash_2c1b1fc97e42cccc,admin,2023-02-19 17:18:32.358737,2023-04-09 17:18:32.358737,5520
80,user80,user80@example.com,2001-07-28,hash_e6074a7b32f2a8a3,user,2023-11-25 17:18:32.358743,2024-02-03 17:18:32.358743,25
81,user81,user81@example.com,2015-09-12,hash_dbdc737b4fada3c6,moderator,2023-05-17 17:18:32.358750,2023-06-29 17:18:32.358750,7853
82,user82,user82@example.com,2002-11-20,hash_f4177c5d77ccfdf,admin,2024-09-25 17:18:32.358756,2024-11-25 17:18:32.358756,4414
83,user83,user83@example.com,1987-06-24,hash_94b6c8e445b5cf05,user,2025-02-17 17:18:32.358762,2025-05-15 17:18:32.358762,3895
84,user84,user84@example.com,1980-10-14,hash_1d7aeffc5c595c2c,moderator,2023-04-08 17:18:32.358788,2023-07-11 17:18:32.358788,229
85,user85,user85@example.com,1988-04-16,hash_2e4424481d437ad3,user,2024-05-28 17:18:32.358795,2024-09-04 17:18:32.358795,4433
86,user86,user86@example.com,1998-10-21,hash_edf9cad39f7f740f,moderator,2024-02-23 17:18:32.358801,2024-04-18 17:18:32.358801,5633
87,user87,user87@example.com,1996-11-25,hash_c9f7d9c2a957202c,moderator,2024-10-16 17:18:32.358808,2024-11-15 17:18:32.358808,7622
88,user88,user88@example.com,2003-06-01,hash_e150e98f00ecb2cd,moderator,2025-05-18 17:18:32.358815,2025-07-23 17:18:32.358815,6698
89,user89,user89@example.com,2009-04-19,hash_74c8c7a045f63bbf,moderator,2024-07-02 17:18:32.358822,2024-09-16 17:18:32.358822,6619
90,user90,user90@example.com,2004-07-03,hash_f1d87e36c605c927,user,2024-03-04 17:18:32.358828,2024-04-19 17:18:32.358828,9815
91,user91,user91@example.com,2016-05-15,hash_b1c64411f204b05f,user,2023-09-27 17:18:32.358835,2023-10-02 17:18:32.358835,40
92,user92,user92@example.com,2006-01-10,hash_4c21c26c825f5c9f,user,2023-08-14 17:18:32.358841,2023-11-11 17:18:32.358841,8299
93,user93,user93@example.com,2002-01-19,hash_4dcfe46f92290960,user,2025-07-23 17:18:32.358847,2025-08-16 17:18:32.358847,4686
94,user94,user94@example.com,2003-09-06,hash_ee8ce24cde80b977,moderator,2023-08-23 17:18:32.358854,2023-09-06 17:18:32.358854,1132
95,user95,user95@example.com,1996-06-29,hash_ed007f79b36f095a,moderator,2025-08-10 17:18:32.358861,2025-09-08 17:18:32.358861,5205
96,user96,user96@example.com,1981-05-12,hash_38a237ec3233eadb,admin,2025-02-03 17:18:32.358867,2025-05-14 17:18:32.358867,1142
97,user97,user97@example.com,2013-02-10,hash_2dff526e15e6a0ce,moderator,2023-11-27 17:18:32.358874,2024-02-04 17:18:32.358874,7145
98,user98,user98@example.com,2007-06-09,hash_7fc7a9f4c03d8fb0,user,2023-05-05 17:18:32.358881,2023-06-05 17:18:32.358881,3249
99,user99,user99@example.com,2005-10-15,hash_7f165fe8b2b539ef,admin,2023-03-20 17:18:32.358887,2023-04-23 17:18:32.358887,3229
100,user100,user100@example.com,1984-08-01,hash_372cf03e5c427ed4,moderator,2024-08-22 17:18:32.358893,2024-10-02 17:18:32.358893,4542
